project_id,product_domain,application_area,problem_clarity_score,technical_complexity_score,technology_maturity_score,data_availability_score,infrastructure_requirement_score,experimental_validation_score,baseline_comparison_flag,real_world_testing_flag,limitations_discussed_flag,rd_cost_estimate,startup_cost_estimate,resource_availability_score,time_to_market_months,target_market_size,competition_level,projected_adoption_rate,unique_selling_proposition_score,projected_roi,regulatory_compliance_flag,legal_risk_flag,risk_level_score,feasibility_score
1001,FinTech,Fraud Detection,9,3,8,9,2,8,1,1,1,150000,75000,8,6,50000000,3,0.85,7,12.5,1,0,2,94
1002,Healthcare,AI Diagnostics,8,8,4,5,7,3,1,0,1,2500000,1200000,5,24,120000000,2,0.45,8,18.2,1,1,7,41
1003,Smart Cities,Traffic Management,7,6,7,6,9,6,1,1,0,850000,400000,6,18,8500000,2,0.60,5,5.5,1,0,4,68
1004,Energy,Biofuels,6,9,3,2,8,2,0,0,1,5000000,8000000,3,48,900000000,1,0.20,9,22.0,0,0,8,28
1005,Education,AI Tutoring,9,4,9,8,3,7,1,1,1,120000,50000,9,8,35000000,3,0.75,4,4.2,1,0,2,88
1006,Cybersecurity,Identity Management,8,5,8,7,4,8,1,1,0,300000,150000,7,10,20000000,2,0.70,6,9.8,1,0,3,82
1007,Agriculture,Drone Monitoring,8,4,7,6,3,7,1,1,1,200000,100000,8,9,45000000,2,0.65,7,8.5,1,0,3,85
1008,Healthcare,Telemedicine,9,2,9,9,2,9,1,1,1,100000,45000,9,4,60000000,3,0.90,3,3.5,1,0,1,96
1009,FinTech,Blockchain Payments,6,8,5,4,6,4,0,0,1,900000,600000,4,20,150000000,3,0.30,8,15.0,0,1,7,35
1010,Smart Cities,Waste Management,7,5,6,5,7,5,1,1,0,400000,350000,6,14,25000000,1,0.50,5,6.0,1,0,4,65
1011,Energy,Solar Storage,8,6,8,7,5,7,1,1,1,3500000,2000000,7,18,500000000,2,0.68,7,10.5,1,0,3,79
1012,Education,VR Classrooms,7,7,5,3,8,4,0,0,1,1200000,900000,4,24,60000000,2,0.35,9,8.0,1,0,6,45
1013,Cybersecurity,Threat Intelligence,9,4,8,9,3,8,1,1,1,250000,120000,9,7,80000000,2,0.78,6,11.2,1,0,2,90
1014,Agriculture,Precision Farming,8,5,7,7,5,6,1,1,0,500000,300000,7,12,110000000,2,0.62,6,7.5,1,0,3,76
1015,Healthcare,Wearables,8,4,8,8,2,8,1,1,1,600000,250000,8,10,220000000,3,0.80,5,6.8,1,0,2,89
1016,FinTech,Robo-Advising,8,5,7,8,3,7,1,1,0,280000,140000,8,9,90000000,3,0.72,4,8.9,1,0,3,81
1017,Smart Cities,Smart Grids,7,8,6,5,9,5,0,0,1,8000000,5000000,5,36,600000000,1,0.40,8,14.5,1,0,6,48
1018,Energy,Wind Turbines,7,7,9,8,9,8,1,1,1,12000000,15000000,6,42,800000000,2,0.55,6,13.0,1,0,5,58
1019,Education,LMS,9,2,10,9,2,9,1,1,1,80000,30000,9,3,40000000,3,0.88,2,2.5,1,0,1,92
1020,Cybersecurity,Network Defense,8,5,9,8,4,8,1,1,1,450000,200000,8,8,150000000,3,0.76,5,7.2,1,0,2,86
1021,Agriculture,Supply Chain,7,4,7,6,4,6,1,0,0,350000,180000,7,11,70000000,2,0.58,5,6.5,1,0,4,72
1022,Healthcare,Electronic Health Records,9,5,9,9,6,8,1,1,1,2000000,1500000,7,18,300000000,3,0.65,4,9.0,1,1,4,68
1023,FinTech,InsurTech,8,4,8,8,3,7,1,1,0,400000,220000,8,10,130000000,2,0.70,6,10.2,1,0,3,84
1024,Smart Cities,Public Safety,6,7,5,4,8,4,0,0,1,1500000,900000,4,22,40000000,2,0.42,7,5.0,0,1,6,38
1025,Energy,Smart Metering,8,4,8,8,5,8,1,1,1,600000,400000,8,12,180000000,2,0.75,5,8.0,1,0,2,83
1026,Education,Credentialing,8,3,8,7,2,7,1,1,1,150000,70000,8,6,25000000,2,0.72,6,6.0,1,0,2,87
1027,Cybersecurity,Encryption,9,6,8,7,3,8,1,1,1,500000,250000,7,14,95000000,2,0.68,7,12.0,1,0,3,80
1028,Agriculture,Automated Harvesting,6,9,4,3,8,3,0,0,1,3000000,1800000,4,30,80000000,1,0.25,9,16.0,0,0,7,32
1029,Healthcare,AI Diagnostics,7,7,5,4,6,4,0,0,1,1800000,950000,5,20,110000000,2,0.40,7,14.0,0,1,6,39
1030,FinTech,Fraud Detection,9,3,9,9,2,9,1,1,1,180000,90000,9,5,65000000,3,0.86,6,11.5,1,0,1,95
1031,Smart Cities,Traffic Management,8,5,7,7,6,7,1,1,0,750000,380000,7,16,15000000,2,0.64,5,6.8,1,0,3,75
1032,Energy,Biofuels,5,8,4,3,7,3,0,0,1,4200000,6000000,3,40,750000000,1,0.28,8,19.5,1,0,7,36
1033,Education,AI Tutoring,8,5,7,6,4,6,1,0,0,250000,120000,7,11,40000000,2,0.66,6,5.5,1,0,3,77
1034,Cybersecurity,Identity Management,9,4,9,9,3,9,1,1,1,350000,180000,9,9,25000000,2,0.80,6,10.5,1,0,2,91
1035,Agriculture,Drone Monitoring,7,5,6,5,4,6,0,1,0,280000,140000,6,13,38000000,2,0.55,6,9.2,1,0,4,69
1036,Healthcare,Telemedicine,8,3,8,8,3,8,1,1,1,150000,75000,8,7,55000000,3,0.82,4,4.8,1,0,2,88
1037,FinTech,Blockchain Payments,7,7,6,5,5,5,1,0,1,800000,500000,5,18,130000000,2,0.45,7,13.0,0,1,6,44
1038,Smart Cities,Waste Management,8,4,7,6,5,7,1,1,0,350000,200000,7,12,20000000,1,0.60,4,5.2,1,0,3,78
1039,Energy,Solar Storage,9,5,9,8,4,8,1,1,1,2800000,1500000,8,15,450000000,2,0.75,6,9.5,1,0,2,86
1040,Education,VR Classrooms,6,8,4,3,7,3,0,0,1,1500000,1100000,4,28,50000000,2,0.30,8,9.5,0,0,7,33
1041,Cybersecurity,Threat Intelligence,8,5,7,7,4,7,1,1,0,320000,160000,7,10,70000000,2,0.65,5,10.0,1,0,3,79
1042,Agriculture,Precision Farming,9,4,8,8,4,8,1,1,1,450000,250000,8,10,95000000,2,0.70,5,8.8,1,0,2,87
1043,Healthcare,Wearables,7,5,7,7,3,6,1,0,0,550000,280000,7,12,180000000,3,0.68,5,7.0,1,0,3,76
1044,FinTech,Robo-Advising,9,4,8,9,2,8,1,1,1,220000,110000,9,8,85000000,3,0.78,5,9.5,1,0,2,90
1045,Smart Cities,Smart Grids,6,9,5,4,8,4,0,0,1,7500000,4500000,4,40,550000000,1,0.35,7,15.5,1,0,7,40
1046,Energy,Wind Turbines,8,6,8,7,8,7,1,1,1,10000000,12000000,7,36,750000000,2,0.62,6,11.0,1,0,4,66
1047,Education,LMS,10,1,10,10,1,9,1,1,1,60000,20000,10,2,35000000,3,0.92,3,3.0,1,0,1,98
1048,Cybersecurity,Network Defense,7,6,7,7,5,6,1,1,0,550000,300000,7,12,130000000,3,0.60,4,6.5,1,0,4,70
1049,Agriculture,Supply Chain,8,4,6,6,3,6,1,0,0,300000,150000,7,10,60000000,2,0.62,5,7.0,1,0,3,77
1050,Healthcare,Electronic Health Records,8,6,8,8,6,7,1,1,1,1800000,1300000,6,16,280000000,3,0.55,5,8.2,1,0,4,68
1051,FinTech,InsurTech,7,5,6,6,4,6,1,0,0,450000,250000,7,12,110000000,2,0.60,5,9.0,1,0,4,71
1052,Smart Cities,Public Safety,5,8,4,3,9,3,0,0,1,1800000,1100000,3,26,35000000,2,0.30,8,6.0,0,1,7,29
1053,Energy,Smart Metering,9,3,9,9,4,9,1,1,1,550000,350000,9,10,160000000,2,0.80,5,7.5,1,0,1,92
1054,Education,Credentialing,7,4,7,6,3,6,1,1,0,180000,90000,7,8,22000000,2,0.65,5,5.5,1,0,3,79
1055,Cybersecurity,Encryption,8,6,7,7,4,7,1,1,0,550000,280000,6,15,90000000,2,0.60,6,11.5,1,0,3,74
1056,Agriculture,Automated Harvesting,5,8,3,3,7,2,0,0,1,2800000,1600000,3,28,75000000,1,0.22,8,15.5,0,0,8,27
1057,Healthcare,AI Diagnostics,9,7,6,7,6,5,1,1,1,2200000,1100000,6,22,115000000,2,0.50,8,16.5,1,1,5,55
1058,FinTech,Fraud Detection,8,4,8,8,3,8,1,1,0,160000,80000,8,7,60000000,3,0.78,5,10.0,1,0,2,89
1059,Smart Cities,Traffic Management,6,6,6,5,7,5,0,0,0,800000,420000,6,18,12000000,2,0.55,5,6.2,1,0,5,59
1060,Energy,Biofuels,4,9,3,2,8,2,0,0,1,4500000,7000000,2,44,700000000,1,0.15,8,18.0,1,0,8,25
1061,Education,AI Tutoring,9,4,8,8,3,8,1,1,1,220000,110000,8,10,38000000,2,0.72,5,5.0,1,0,2,85
1062,Cybersecurity,Identity Management,8,5,8,8,4,8,1,1,0,320000,160000,8,11,22000000,2,0.75,5,10.0,1,0,3,83
1063,Agriculture,Drone Monitoring,9,4,8,7,3,8,1,1,1,250000,120000,9,8,42000000,2,0.70,7,9.0,1,0,2,90
1064,Healthcare,Telemedicine,10,1,10,10,1,9,1,1,1,90000,40000,10,3,58000000,3,0.95,3,3.2,1,0,0,99
1065,FinTech,Blockchain Payments,6,8,5,4,6,4,0,0,1,850000,550000,5,19,140000000,3,0.35,8,14.5,0,1,7,37
1066,Smart Cities,Waste Management,7,5,6,6,6,6,1,0,0,380000,220000,6,13,22000000,1,0.55,4,5.5,1,0,4,68
1067,Energy,Solar Storage,9,6,8,8,5,8,1,1,1,3000000,1800000,8,16,480000000,2,0.70,7,9.8,1,0,3,82
1068,Education,VR Classrooms,7,7,5,4,7,5,1,0,0,1300000,950000,5,26,55000000,2,0.38,8,8.5,1,0,6,48
1069,Cybersecurity,Threat Intelligence,9,4,8,9,3,9,1,1,1,280000,140000,9,8,75000000,2,0.75,6,10.8,1,0,2,89
1070,Agriculture,Precision Farming,8,5,7,7,5,7,1,1,0,480000,280000,7,11,100000000,2,0.65,5,8.0,1,0,3,78
1071,Healthcare,Wearables,9,3,9,9,2,8,1,1,1,580000,260000,9,9,210000000,3,0.85,5,7.2,1,0,1,93
1072,FinTech,Robo-Advising,8,5,8,8,3,7,1,1,0,250000,130000,8,10,88000000,3,0.75,4,9.2,1,0,3,82
1073,Smart Cities,Smart Grids,6,8,5,4,9,4,0,0,1,7800000,4800000,4,38,580000000,1,0.38,8,15.0,1,0,7,43
1074,Energy,Wind Turbines,8,6,9,8,8,8,1,1,1,11000000,13000000,7,38,780000000,2,0.60,6,12.0,1,0,4,65
1075,Education,LMS,9,2,9,9,2,9,1,1,1,85000,35000,9,4,38000000,3,0.85,3,2.8,1,0,1,93
1076,Cybersecurity,Network Defense,8,5,8,8,4,7,1,1,0,480000,220000,8,9,140000000,3,0.72,5,7.0,1,0,3,81
1077,Agriculture,Supply Chain,7,4,7,6,4,6,1,0,0,320000,160000,7,11,65000000,2,0.60,5,6.8,1,0,3,75
1078,Healthcare,Electronic Health Records,9,5,9,9,6,8,1,1,1,1900000,1400000,7,17,290000000,3,0.60,5,8.8,1,1,4,67
1079,FinTech,InsurTech,8,4,7,8,3,7,1,1,0,420000,230000,8,11,120000000,2,0.68,6,9.8,1,0,3,82
1080,Smart Cities,Public Safety,5,8,4,3,8,3,0,0,1,1600000,1000000,3,24,38000000,2,0.35,7,5.5,0,1,7,32
1081,Energy,Smart Metering,9,4,9,8,5,8,1,1,1,620000,420000,9,11,170000000,2,0.78,5,8.2,1,0,2,85
1082,Education,Credentialing,8,3,8,7,3,7,1,1,0,160000,80000,8,7,24000000,2,0.70,6,5.8,1,0,3,84
1083,Cybersecurity,Encryption,9,5,8,8,3,8,1,1,1,520000,260000,8,13,92000000,2,0.65,6,11.8,1,0,3,78
1084,Agriculture,Automated Harvesting,5,9,4,3,8,3,0,0,1,3200000,1900000,3,32,78000000,1,0.20,9,15.8,0,0,7,30
1085,Healthcare,AI Diagnostics,8,6,6,5,6,5,1,0,0,2000000,1000000,6,21,112000000,2,0.48,7,15.0,1,1,5,52
1086,FinTech,Fraud Detection,9,3,9,9,2,9,1,1,1,170000,85000,9,6,62000000,3,0.82,6,11.0,1,0,1,93
1087,Smart Cities,Traffic Management,7,5,7,7,6,7,1,1,0,780000,390000,7,15,14000000,2,0.62,5,6.5,1,0,3,73
1088,Energy,Biofuels,5,8,4,3,7,3,0,0,1,4300000,6200000,3,42,720000000,1,0.25,8,19.0,1,0,7,34
1089,Education,AI Tutoring,8,5,7,7,4,7,1,0,0,240000,115000,7,10,39000000,2,0.68,6,5.2,1,0,3,79
1090,Cybersecurity,Identity Management,9,4,9,9,3,9,1,1,1,340000,170000,9,9,24000000,2,0.82,6,10.2,1,0,2,92
1091,Agriculture,Drone Monitoring,8,5,7,6,4,7,0,1,0,290000,145000,7,12,40000000,2,0.60,6,9.5,1,0,3,76
1092,Healthcare,Telemedicine,9,2,9,9,2,9,1,1,1,140000,70000,9,6,56000000,3,0.88,4,4.5,1,0,1,94
1093,FinTech,Blockchain Payments,6,7,6,5,6,5,1,0,1,880000,580000,5,19,135000000,2,0.40,7,13.5,0,1,6,42
1094,Smart Cities,Waste Management,8,4,7,6,5,7,1,1,0,360000,210000,7,13,21000000,1,0.58,4,5.8,1,0,3,77
1095,Energy,Solar Storage,9,5,9,8,4,8,1,1,1,2900000,1600000,8,16,460000000,2,0.72,6,9.6,1,0,2,85
1096,Education,VR Classrooms,6,8,4,4,7,4,0,0,1,1400000,1000000,4,27,52000000,2,0.32,8,9.0,0,0,7,35
1097,Cybersecurity,Threat Intelligence,8,5,7,8,4,7,1,1,0,300000,150000,7,11,72000000,2,0.68,5,10.2,1,0,3,80
1098,Agriculture,Precision Farming,9,4,8,8,4,8,1,1,1,460000,260000,8,11,98000000,2,0.72,5,8.5,1,0,2,88
1099,Healthcare,Wearables,8,4,8,8,3,7,1,1,0,570000,270000,8,11,190000000,3,0.75,5,7.5,1,0,3,82
1100,FinTech,Robo-Advising,9,4,9,9,2,8,1,1,1,230000,115000,9,8,87000000,3,0.80,5,9.2,1,0,2,91
1101,Smart Cities,Smart Grids,6,9,5,4,8,4,0,0,1,7600000,4600000,4,39,560000000,1,0.36,7,15.2,1,0,7,41
1102,Energy,Wind Turbines,8,6,8,7,8,7,1,1,1,10500000,12500000,7,37,760000000,2,0.64,6,11.5,1,0,4,67
1103,Education,LMS,10,2,9,10,1,9,1,1,1,70000,25000,10,3,36000000,3,0.90,3,2.8,1,0,1,96
1104,Cybersecurity,Network Defense,8,5,8,8,4,7,1,1,0,500000,250000,8,10,145000000,3,0.68,5,6.8,1,0,3,83
1105,Agriculture,Supply Chain,8,4,7,6,3,6,1,0,0,310000,155000,7,10,62000000,2,0.64,5,7.2,1,0,3,78
1106,Healthcare,Electronic Health Records,8,6,8,8,6,7,1,1,1,1850000,1350000,6,17,285000000,3,0.58,5,8.5,1,0,4,69
1107,FinTech,InsurTech,7,5,7,7,4,6,1,0,0,440000,240000,7,12,115000000,2,0.62,5,9.5,1,0,3,73
1108,Smart Cities,Public Safety,5,8,4,3,8,3,0,0,1,1700000,1050000,3,25,36000000,2,0.32,7,5.8,0,1,7,30
1109,Energy,Smart Metering,9,3,9,9,4,9,1,1,1,580000,380000,9,10,165000000,2,0.82,5,7.8,1,0,1,93
1110,Education,Credentialing,7,4,7,7,3,6,1,1,0,170000,85000,7,8,23000000,2,0.68,5,5.6,1,0,3,81
1111,Cybersecurity,Encryption,8,6,7,7,4,7,1,1,0,540000,270000,7,15,91000000,2,0.62,6,11.6,1,0,3,76
1112,Agriculture,Automated Harvesting,5,9,3,3,7,2,0,0,1,2900000,1700000,3,29,76000000,1,0.21,8,15.6,0,0,8,28
1113,Healthcare,AI Diagnostics,9,7,6,7,6,5,1,1,1,2100000,1050000,6,21,113000000,2,0.52,8,16.0,1,1,5,56
1114,FinTech,Fraud Detection,8,4,8,8,3,8,1,1,0,165000,82000,8,7,62000000,3,0.80,5,10.5,1,0,2,90
1115,Smart Cities,Traffic Management,7,6,6,6,7,5,0,0,0,820000,430000,6,17,13000000,2,0.58,5,6.4,1,0,4,61
1116,Energy,Biofuels,4,9,3,2,8,2,0,0,1,4400000,6800000,2,43,710000000,1,0.18,8,18.5,1,0,8,26
1117,Education,AI Tutoring,9,4,9,8,3,8,1,1,1,230000,112000,8,9,37000000,2,0.74,5,5.1,1,0,2,87
1118,Cybersecurity,Identity Management,8,5,9,8,4,8,1,1,0,330000,165000,8,11,23000000,2,0.78,5,10.1,1,0,3,84
1119,Agriculture,Drone Monitoring,9,4,8,7,3,8,1,1,1,260000,125000,9,8,43000000,2,0.72,7,9.1,1,0,2,91
1120,Healthcare,Telemedicine,10,2,9,10,1,9,1,1,1,95000,42000,10,4,59000000,3,0.92,3,3.3,1,0,1,97
1121,FinTech,Blockchain Payments,6,8,5,5,6,4,0,0,1,860000,560000,5,19,145000000,3,0.38,8,14.8,0,1,7,38
1122,Smart Cities,Waste Management,7,5,6,6,6,6,1,0,0,390000,230000,6,14,23000000,1,0.56,4,5.6,1,0,4,69
1123,Energy,Solar Storage,9,6,8,8,5,8,1,1,1,3100000,1900000,8,17,490000000,2,0.72,7,10.0,1,0,3,83
1124,Education,VR Classrooms,7,7,5,4,7,5,1,0,0,1350000,980000,5,25,56000000,2,0.40,8,8.8,1,0,6,50
1125,Cybersecurity,Threat Intelligence,9,4,9,9,3,9,1,1,1,290000,145000,9,8,78000000,2,0.78,6,11.0,1,0,2,91
1126,Agriculture,Precision Farming,8,5,8,7,5,7,1,1,0,490000,290000,7,11,105000000,2,0.68,5,8.2,1,0,3,80
1127,Healthcare,Wearables,9,3,9,9,2,8,1,1,1,590000,265000,9,9,215000000,3,0.88,5,7.4,1,0,1,94
1128,FinTech,Robo-Advising,8,5,8,8,3,7,1,1,0,260000,135000,8,10,89000000,3,0.76,4,9.4,1,0,3,83
1129,Smart Cities,Smart Grids,6,8,5,4,9,4,0,0,1,7900000,4900000,4,38,590000000,1,0.40,8,15.2,1,0,7,44
1130,Energy,Wind Turbines,8,6,9,8,8,8,1,1,1,11500000,13500000,7,39,790000000,2,0.62,6,12.2,1,0,4,66
1131,Education,LMS,9,2,9,9,2,9,1,1,1,88000,36000,9,4,39000000,3,0.86,3,2.9,1,0,1,94
1132,Cybersecurity,Network Defense,8,5,8,8,4,7,1,1,0,490000,230000,8,9,142000000,3,0.74,5,7.1,1,0,3,82
1133,Agriculture,Supply Chain,7,4,7,6,4,6,1,0,0,330000,165000,7,11,66000000,2,0.62,5,6.9,1,0,3,76
1134,Healthcare,Electronic Health Records,9,5,9,9,6,8,1,1,1,1950000,1450000,7,17,295000000,3,0.62,5,8.9,1,1,4,69
1135,FinTech,InsurTech,8,4,7,8,3,7,1,1,0,430000,235000,8,11,125000000,2,0.70,6,10.0,1,0,3,83
1136,Smart Cities,Public Safety,5,8,4,3,8,3,0,0,1,1650000,1020000,3,24,39000000,2,0.36,7,5.6,0,1,7,33
1137,Energy,Smart Metering,9,4,9,8,5,8,1,1,1,630000,430000,9,11,175000000,2,0.80,5,8.4,1,0,2,86
1138,Education,Credentialing,8,3,8,7,3,7,1,1,0,165000,82000,8,7,24500000,2,0.72,6,5.9,1,0,3,85
1139,Cybersecurity,Encryption,9,5,8,8,3,8,1,1,1,530000,265000,8,13,93000000,2,0.66,6,12.0,1,0,3,79
1140,Agriculture,Automated Harvesting,5,9,4,3,8,3,0,0,1,3300000,1950000,3,31,79000000,1,0.22,9,15.9,0,0,7,31
1141,Healthcare,AI Diagnostics,8,6,6,5,6,5,1,0,0,2050000,1050000,6,21,114000000,2,0.50,7,15.2,1,1,5,53
1142,FinTech,Fraud Detection,9,3,9,9,2,9,1,1,1,175000,88000,9,6,63000000,3,0.84,6,11.2,1,0,1,94
1143,Smart Cities,Traffic Management,7,5,7,7,6,7,1,1,0,790000,395000,7,15,14500000,2,0.64,5,6.6,1,0,3,74
1144,Energy,Biofuels,5,8,4,3,7,3,0,0,1,4350000,6300000,3,41,730000000,1,0.26,8,19.2,1,0,7,35
1145,Education,AI Tutoring,8,5,7,7,4,7,1,0,0,245000,118000,7,10,39500000,2,0.70,6,5.3,1,0,3,80
1146,Cybersecurity,Identity Management,9,4,9,9,3,9,1,1,1,345000,175000,9,9,24500000,2,0.84,6,10.3,1,0,2,93
1147,Agriculture,Drone Monitoring,8,5,7,6,4,7,0,1,0,295000,148000,7,12,41000000,2,0.62,6,9.6,1,0,3,77
1148,Healthcare,Telemedicine,9,2,9,9,2,9,1,1,1,145000,72000,9,6,57000000,3,0.90,4,4.6,1,0,1,95
1149,FinTech,Blockchain Payments,6,7,6,5,6,5,1,0,1,890000,590000,5,19,138000000,2,0.42,7,13.8,0,1,6,43
1150,Smart Cities,Waste Management,8,4,7,6,5,7,1,1,0,365000,215000,7,13,21500000,1,0.60,4,5.9,1,0,3,78
1151,Energy,Solar Storage,9,5,9,8,4,8,1,1,1,2950000,1650000,8,16,470000000,2,0.74,6,9.7,1,0,2,86
1152,Education,VR Classrooms,6,8,4,4,7,4,0,0,1,1450000,1050000,4,27,53000000,2,0.34,8,9.2,0,0,7,36
1153,Cybersecurity,Threat Intelligence,8,5,7,8,4,7,1,1,0,305000,155000,7,11,73000000,2,0.70,5,10.4,1,0,3,81
1154,Agriculture,Precision Farming,9,4,8,8,4,8,1,1,1,465000,265000,8,11,99000000,2,0.74,5,8.6,1,0,2,89
1155,Healthcare,Wearables,8,4,8,8,3,7,1,1,0,575000,275000,8,11,195000000,3,0.78,5,7.6,1,0,3,83
1156,FinTech,Robo-Advising,9,4,9,9,2,8,1,1,1,235000,118000,9,8,88000000,3,0.82,5,9.3,1,0,2,92
1157,Smart Cities,Smart Grids,6,9,5,4,8,4,0,0,1,7700000,4700000,4,39,570000000,1,0.37,7,15.3,1,0,7,42
1158,Energy,Wind Turbines,8,6,8,7,8,7,1,1,1,10800000,12800000,7,37,770000000,2,0.65,6,11.6,1,0,4,68
1159,Education,LMS,10,2,9,10,1,9,1,1,1,72000,26000,10,3,37000000,3,0.92,3,2.9,1,0,1,97
1160,Cybersecurity,Network Defense,8,5,8,8,4,7,1,1,0,510000,255000,8,10,148000000,3,0.70,5,6.9,1,0,3,84
1161,Agriculture,Supply Chain,8,4,7,6,3,6,1,0,0,315000,158000,7,10,63000000,2,0.66,5,7.3,1,0,3,79
1162,Healthcare,Electronic Health Records,8,6,8,8,6,7,1,1,1,1880000,1380000,6,17,288000000,3,0.60,5,8.6,1,0,4,70
1163,FinTech,InsurTech,7,5,7,7,4,6,1,0,0,445000,245000,7,12,118000000,2,0.64,5,9.6,1,0,3,74
